From ID Variable;From Variable;To ID Variable;To Variable;Value;Value (Höhe selbst definiert);Source ;Erklärung
45;Use of recycled materials;16;Protective performance ;-;-1;(Liu et al. 2023);Der Einsatz von Rezyklat (recycleter Faserstoff oder Kunststoff) führt zu weniger Stabilität bei Verpackungen und daher könnte es die Schutzfunktion verschlechtern.
45;Use of recycled materials;39;Cost;+;+3;(Liu et al. 2023);Der Einsatz von Rezyklat (recycleter Faserstoff oder Kunststoff) führt zu höheren Kosten, da es aufwendig aufbereitet werden muss und von Verwertern zu höheren Preisen verkauft wird, als Primärmaterial.
45;Use of recycled materials;46;Production rate;-;-1;(Liu et al. 2023);Der Einsatz von Rezyklat (recycleter Faserstoff oder Kunststoff) führt oft zu Problemen in der Produktion und daher zu geringeren Produktionsraten.
56;Amount of packaging material;39;Cost;+;+3;(Molina-Besch und Pålsson 2016);Je mehr Verpackungsmaterial eingesetzt wird, desto höher sind die Kosten. (Materialpreis)
55;Packaging size;56;Amount of packaging material;+;+3;(Liu et al. 2023);Größere Verpackungen brauchen mehr Verpackungsmaterial. 
16;Protective performance ;17;Consumer perceptions;+;+1;(Nguyen et al. 2020);Die Schutzwirkung von Verpackungen hat einen positiven Einfluss auf die Kundenwahrnehmung.
45;Use of recycled materials;17;Consumer perceptions;;+2;(eigene Bewertung);Der Einsatz von Rezyklat (recycleter Faserstoff oder Kunststoff) führt zu besserem Empfinden/Wahrnehmung durch Kunden, da nachhaltige Verpackungen aktuell im Trend liegen und eher positiv wahrgenommen werden.
45;Use of recycled materials;69;Recyclability;;-1;(eigene Bewertung);Der Einsatz von Rezyklat (recycleter Faserstoff oder Kunststoff) führt zu weniger recyclingfähigen Verpackungen. Werden Faserstoffe/Kunststoffe immer wieder eingesetzt, so verschlechtert sich deren Qualität, da die Fasern/Makromoleküle immer kürzer werden und die Qualität des Rezyklats dadurch nachlässt. 
56;Amount of packaging material;17;Consumer perceptions;;-3;(eigene Bewertung);Je größer die Menge an Verpackungsmaterial ist, desto negativer ist die Kundenwahrnehmung. Große Mengen an Verpackung(smüll) ist nicht gewünscht. 
55;Packaging size;39;Cost;;+2;(eigene Bewertung);Die Verpackungsgröße wirkt sich auf die Kosten aus. Je größer die Verpackung ist, desto mehr Kosten fallen an für Material, Logistik, etc.
55;Packaging size;46;Production rate;;-1;(eigene Bewertung);Je größer die Verpackung ist, desto langsamer wird die Produktionsrate. Es werden z.B. Klebeflächen größer/länger und somit benötigt die Produktion mehr Zeit. 
46;Production rate;39;Cost;;+3;(eigene Bewertung);Je höher die Produktionsrate ist, desto geringer werden die Kosten der Verpackung.
104;Product dimensions;56;Amount of packaging material;;+3;(eigene Bewertung);Die Produktdimensionen haben einen Einfluss auf die Menge an Verpackungsmaterial. Sind die verpackten Produkte größer, wird auch mehr Verpackungsmaterial nötig sein.
104;Product dimensions;55;Packaging size;;+3;(eigene Bewertung);Sind die Produkte größer, werden auch die Verpackungen größer sein. 
69;Recyclability;45;Use of recycled materials;;+1;(eigene Bewertung);Die Recyclingfähigkeit von Materialien hat einen Einfluss auf den Rezyklateinsatz. Sind Materialien recycelbar, so kann auch der Einsatz dieses Rezyklats (recyceltes Material) wieder eingesetzt werden. 
